Table 1
Year,Player,Receiving Yards,Receptions,Yards Per Reception,Receiving Touchdowns,
2019,Ja'Marr Chase,1780,84,21.2,20,
2019,Jaylen Waddle,560,33,17.0,6,
2019,Devonta Smith,1256,68,18.5,14,
2019,Kadarius Toney,194,10,19.4,1,
2019,Rashod Bateman,1219,60,20.3,11,
2019,Elijah Moore,850,67,12.7,6,
2019,Rondale Moore,387,29,13.3,2,
2019,D'Wayne Eskridge,73,3,24.3,0,
2019,Tutu Atwell,1272,69,18.4,11,
2019,Terrace Marshall,671,46,14.6,13,
2019,Josh Palmer,457,34,13.4,1,
2019,Dyami Brown,1034,51,20.3,12,
2019,Amari Rodgers,426,30,14.2,4,
2019,Nico Collins,729,37,19.7,7,
2019,Anthony Schwartz,440,41,10.7,1,
2019,Dez Fitzpatrick,635,35,18.1,6,
2019,Amon-Ra St. Brown,1042,77,13.5,6,
2019,Jaelon Darden,736,76,9.7,12,
2019,Tylan Wallace,903,53,17.0,8,
2019,Jacob Harris,448,19,23.6,1,
2019,Ihmir Smith-Marsette,722,44,16.4,5,
2019,Simi Fehoko,566,24,23.6,6,
2019,Cornell Powell,122,15,8.1,2,
2019,Frank Darby,616,31,19.9,8,
2019,Marquez Stevenson,907,52,17.4,9,
2019,Shi Smith,489,43,11.4,2,
2019,Racey McMath,285,17,16.8,3,
2019,Jalen Camp,134,7,19.1,1,
2019,Demetric Felton,594,55,10.8,4,
2019,Seth Williams,830,59,14.1,8,
2019,Dazz Newsome,1018,72,14.1,10,
2019,Mike Strachan,1319,78,16.9,19,
2019,Tre Nixon,830,49,16.9,7,
2019,Ben Skowronek,141,12,11.8,0,
2019,Kawaan Baker,574,35,16.4,3,
2019,Dax Milne,285,21,13.6,2,
2019,Drake London,567,39,14.5,5,
2019,Garrett Wilson,432,30,14.4,5,
2019,Chris Olave,840,48,17.5,12,
2019,Jameson Williams,112,6,18.7,1,
2019,Jahan Dotson,488,27,18.1,5,
2019,Treylon Burks,475,29,16.4,0,
2019,Christian Watson,732,34,21.5,6,
2019,Wan'Dale Robinson,453,40,11.3,2,
2019,John Metchie,23,4,5.8,0,
2019,Tyquan Thornton,782,45,17.4,5,
2019,George Pickens,727,49,14.8,8,
2019,Alec Pierce,652,37,17.6,2,
2019,Skyy Moore,802,51,15.7,3,
2019,Velus Jones,35,6,5.8,0,
2019,Jalen Tolbert,521,27,19.3,6,
2019,David Bell,1035,86,12.0,7,
2019,Danny Gray,877,54,16.2,8,
2019,Erik Ezukanma,664,42,15.8,4,
2019,Romeo Doubs,649,44,14.8,4,
2019,Calvin Austin,315,17,18.5,3,
2019,Khalil Shakir,872,63,13.8,6,
2019,Montrell Washington,405,28,14.5,3,
2019,Jalen Nailor,106,7,15.1,2,
2019,Mike Woods,423,33,12.8,4,
2019,Bo Melton,427,30,14.2,2,
2019,Dareke Young,515,25,20.6,8,
