Table 1
Year,Player,Receiving Yards,Receptions,Yards Per Reception,Receiving Touchdowns,
2017,Devonta Smith,160,8,20.0,3,
2017,Kadarius Toney,152,15,10.1,0,
2017,D'Wayne Eskridge,506,30,16.9,3,
2017,Josh Palmer,98,9,10.9,0,
2017,Amari Rodgers,123,19,6.5,0,
2017,Nico Collins,27,3,9.0,0,
2017,Dez Fitzpatrick,699,45,15.5,9,
2017,Jaelon Darden,281,32,8.8,3,
2017,Tylan Wallace,118,7,16.9,0,
2017,Ihmir Smith-Marsette,187,18,10.4,2,
2017,Cornell Powell,57,8,7.1,1,
2017,Frank Darby,234,9,26.0,2,
2017,Shi Smith,409,29,14.1,3,
2017,Jalen Camp,49,1,49.0,0,
2017,Demetric Felton,-2,2,-1.0,0,
2017,Dazz Newsome,227,18,12.6,0,
2017,Mike Strachan,6,1,6.0,0,
2017,Tre Nixon,19,1,19.0,0,
2017,Ben Skowronek,644,45,14.3,5,
2017,Kawaan Baker,102,7,14.6,1,
2017,Montrell Washington,197,19,10.4,3,
2017,Dareke Young,18,2,9.0,0,
